color,pu_borough,do_borough,month_num,day_of_week,hour_of_day,avg_total_amount
green,Bronx,Bronx,1,Friday,0,10.44
green,Bronx,Bronx,1,Friday,1,10.7
green,Bronx,Bronx,1,Friday,2,11.23
green,Bronx,Bronx,1,Friday,3,11.21
green,Bronx,Bronx,1,Friday,4,11.58
green,Bronx,Bronx,1,Friday,5,10.88
green,Bronx,Bronx,1,Friday,6,11.26
green,Bronx,Bronx,1,Friday,7,11.27
green,Bronx,Bronx,1,Friday,8,11.28
green,Bronx,Bronx,1,Friday,9,11.18
green,Bronx,Bronx,1,Friday,10,11.63
green,Bronx,Bronx,1,Friday,11,11.88
green,Bronx,Bronx,1,Friday,12,11.79
green,Bronx,Bronx,1,Friday,13,11.53
green,Bronx,Bronx,1,Friday,14,11.75
green,Bronx,Bronx,1,Friday,15,11.97
green,Bronx,Bronx,1,Friday,16,12.49
green,Bronx,Bronx,1,Friday,17,12.58
green,Bronx,Bronx,1,Friday,18,11.83
green,Bronx,Bronx,1,Friday,19,11.7
green,Bronx,Bronx,1,Friday,20,11.17
green,Bronx,Bronx,1,Friday,21,10.68
green,Bronx,Bronx,1,Friday,22,10.7
green,Bronx,Bronx,1,Friday,23,10.57
green,Bronx,Bronx,1,Monday,0,10.21
green,Bronx,Bronx,1,Monday,1,10.34
green,Bronx,Bronx,1,Monday,2,10.85
green,Bronx,Bronx,1,Monday,3,10.15
green,Bronx,Bronx,1,Monday,4,11.25
green,Bronx,Bronx,1,Monday,5,11.57
green,Bronx,Bronx,1,Monday,6,11.18
green,Bronx,Bronx,1,Monday,7,11.43
green,Bronx,Bronx,1,Monday,8,11.46
green,Bronx,Bronx,1,Monday,9,11.54
green,Bronx,Bronx,1,Monday,10,11.76
green,Bronx,Bronx,1,Monday,11,11.8
green,Bronx,Bronx,1,Monday,12,11.89
green,Bronx,Bronx,1,Monday,13,11.76
green,Bronx,Bronx,1,Monday,14,12.05
green,Bronx,Bronx,1,Monday,15,12.24
